imo,ship_name,type,issue,expiry,technical_efficiency_number
9738844,NEW ADMIRE,Bulk carrier,2020-06-15,2021-06-30,2.48
9738894,BUNUN HERO,Bulk carrier,2020-04-30,2021-06-30,5.57
9739018,CAPRICORN ONE,Bulk carrier,2020-03-30,2021-06-30,2.54
9740079,OCEAN AMBITIOUS,Bulk carrier,2020-04-30,2021-06-30,3.87
9740081,OCEAN ANG,Bulk carrier,2020-04-23,2021-06-30,3.87
9740093,OCEAN APPLAUD,Bulk carrier,2020-04-23,2021-06-30,3.84
9740146,OCEAN TIANCHEN,Bulk carrier,2020-04-29,2021-06-30,3.86
9740433,MEREL D,Bulk carrier,2020-04-30,2021-06-30,5.09
9740902,IVS NORTH BERWICK,Bulk carrier,2020-04-03,2021-06-30,3.64
9742053,HALCON TRADER,Chemical tanker,2020-04-14,2021-06-30,6.77
9742077,CONDOR TRADER,Chemical tanker,2020-04-13,2021-06-30,6.89
9742209,STELLA HOPE,Bulk carrier,2020-04-23,2021-06-30,2.43
9742455,HOLLAND PEARL,General cargo ship,2020-09-04,2021-06-30,4.62
9743239,SOHO PRINCIPAL,Bulk carrier,2020-06-17,2021-06-30,3.87
9743241,EPIC BORINQUEN,Gas carrier,2020-06-19,2021-06-30,11.95
9743253,EPIC BONAIRE,Gas carrier,2020-06-19,2021-06-30,13.21
9743289,COMANCHE,Bulk carrier,2020-04-30,2021-06-30,2.44
9744063,BELSOUTH,Bulk carrier,2020-03-07,2021-06-30,3.91
9744075,BELINDA,Bulk carrier,2020-04-20,2021-06-30,3.87
9744520,BULK VENUS,Bulk carrier,2020-03-26,2021-06-30,3.67
9744960,JS INEOS INDEPENDENCE,Gas carrier,2020-01-04,2021-06-30,8.38
9745598,GOLDEN HAWK,Bulk carrier,2020-10-06,2021-06-30,4.21
9745902,FRONT ALTAIR,Oil tanker,2020-05-22,2021-06-30,3.07
9745938,SAMJOHN ARGONAUT,Bulk carrier,2020-04-30,2021-06-30,2.15
9745940,SAMJOHN ODYSSEY,Bulk carrier,2020-04-30,2021-06-30,2.11
9746009,STAR WAVE,Bulk carrier,2020-01-06,2021-06-30,3.85
9746231,OBSIDIAN,Oil tanker,2020-04-29,2021-06-30,4.22
9746279,LARGO SEA,Oil tanker,2020-04-30,2021-06-30,4.18
9746798,APEX,Bulk carrier,2020-04-23,2021-06-30,3.76
9747144,BUNUN BENEFIT,Bulk carrier,2020-04-30,2021-06-30,5.46
9747314,CL TAIZHOU,Bulk carrier,2020-04-30,2021-06-30,3.5
9747326,PTI HUDSON,Chemical tanker,2020-02-05,2021-06-30,4.18
9747340,PTI HUANG HE,Chemical tanker,2020-04-30,2021-06-30,4.17
9747390,STH ATHENS,Bulk carrier,2020-06-30,2021-06-30,2.34
9747405,STH LONDON,Bulk carrier,2020-06-30,2021-06-30,3.89
9747754,EVER IMPERIAL,Bulk carrier,2020-01-04,2021-06-30,3.54
9747869,TRUE CORSAIR,Bulk carrier,2020-04-27,2021-06-30,2.52
9748215,SAHARA GAS,Gas carrier,2020-04-29,2021-06-30,7.51
9748227,BW VAR,Gas carrier,2020-05-28,2021-06-30,5.98
9748423,SBI ACHILLES,Bulk carrier,2020-04-30,2021-06-30,4.13
9748849,MANA,Bulk carrier,2020-04-05,2021-06-30,3.84
9749441,ARPEGGIO,Chemical tanker,2020-04-21,2021-06-30,18.0
9749453,ENSEMBLE,Chemical tanker,2020-04-21,2021-06-30,18.0
9749726,BULK DRACO,Bulk carrier,2020-05-21,2021-06-30,3.85
9749805,SNOW PLOEG,Chemical tanker,2020-06-17,2021-06-30,7.03
9749908,SAKIZAYA KALON,Bulk carrier,2020-04-30,2021-06-30,3.59
9749910,CHLOE,Bulk carrier,2020-04-28,2021-06-30,3.57
9750048,EL MATADOR,Bulk carrier,2020-05-25,2021-06-30,3.9
9750440,GH DAWN RUN,Bulk carrier,2020-04-20,2021-06-30,3.89
9751248,SUNISA NAREE,Bulk carrier,2020-04-15,2021-06-30,4.94
9751511,NORWEGIAN ENCORE,Passenger ship,2020-04-30,2021-06-30,9.3
9752383,MYRTO,Bulk carrier,2020-04-29,2021-06-30,3.67
9753648,DH EPOCH,Chemical tanker,2020-04-20,2021-06-30,8.36
9753703,NAVIG8 TANZANITE,Chemical tanker,2020-02-06,2021-06-30,4.12
9754824,GAS TIGERS,Gas carrier,2020-01-06,2021-06-30,7.74
9755476,CRAMOND ISLAND,Bulk carrier,2020-04-28,2021-06-30,4.09
9755701,BOSTON HARMONY,Bulk carrier,2020-04-30,2021-06-30,5.08
9755866,AVRA.GR,Bulk carrier,2020-04-21,2021-06-30,5.49
9756224,STAR SIENNA,Bulk carrier,2020-05-13,2021-06-30,2.36
9756925,PRESINGE TRADER,Bulk carrier,2020-04-16,2021-06-30,3.64
9757008,ELLIREA,Bulk carrier,2020-04-30,2021-06-30,4.19
9757175,CHINA ENTERPRISE,Bulk carrier,2020-03-27,2021-06-30,2.39
9758363,ASL SYMPHONY,Bulk carrier,2020-12-05,2021-06-30,4.31
9758480,XING SHUN HAI,Bulk carrier,2020-04-16,2021-06-30,3.53
9758868,ARMONIA.GR,Bulk carrier,2020-04-21,2021-06-30,4.19
9760122,MEDI BRISBANE,Bulk carrier,2020-04-23,2021-06-30,5.04
9760213,STI PRECISION,Oil tanker,2020-04-26,2021-06-30,3.77
9760550,TIGER TENACITY,Chemical tanker,2020-04-20,2021-06-30,6.0
9760615,TAMANRASSET,Container ship,2020-04-15,2021-06-30,23.07
9761231,NY TRADER III,Bulk carrier,2020-03-04,2021-06-30,4.61
9761346,MARAN HERMES,Oil tanker,2020-04-24,2021-06-30,2.74
9761372,MARAN HOMER,Oil tanker,2020-04-24,2021-06-30,2.78
9761700,WANG DA,Bulk carrier,2020-04-29,2021-06-30,4.77
9762261,FLEX ENDEAVOUR,LNG carrier,2020-03-09,2021-06-30,3.93
9762376,PARNASSOS,Bulk carrier,2020-04-27,2021-06-30,3.61
9762596,DAPHNE,Bulk carrier,2020-04-28,2021-06-30,3.56
9762895,TRAMMO INDEPENDENT,Bulk carrier,2020-04-27,2021-06-30,4.67
9763887,TOP FORTUNE,Bulk carrier,2020-04-26,2021-06-30,3.87
9764001,RECCO,Bulk carrier,2020-04-30,2021-06-30,3.52
9765366,ITHAKI WARRIOR,Oil tanker,2020-05-29,2021-06-30,2.73
9765718,RB EDEN,Bulk carrier,2020-04-30,2021-06-30,3.22
9766322,SONANGOL MAIOMBE,Oil tanker,2020-04-29,2021-06-30,2.75
9766346,SEA HAWK,Bulk carrier,2020-04-05,2021-06-30,4.97
9766645,CASPIAN HARMONY,General cargo ship,2020-05-20,2021-06-30,6.65
9767089,GOOD HORIZON,Bulk carrier,2020-01-07,2021-06-30,2.4
9767510,CAPE KESTREL,Bulk carrier,2020-04-29,2021-06-30,2.69
9767857,TONG DA,General cargo ship,2020-01-05,2021-06-30,4.44
9767895,TOP DILIGENCE,General cargo ship,2020-01-05,2021-06-30,4.56
9767950,MARAN GAS SPETSES,LNG carrier,2020-06-30,2021-06-30,3.6
9768239,TRANS AFRICA,Bulk carrier,2020-04-28,2021-06-30,3.5
9770438,MARVEL CRANE,LNG carrier,2020-02-04,2021-06-30,4.76
9770646,ELBHOFF,Oil tanker,2020-04-30,2021-06-30,2.11
9770945,MEGARA,LNG carrier,2020-03-29,2021-06-30,3.06
9771341,FRONT DUCHESS,Oil tanker,2020-04-16,2021-06-30,2.19
9772046,PACIFIC JULIA,Chemical tanker,2020-05-13,2021-06-30,3.46
9774185,SEAVIGOUR,Oil tanker,2020-04-30,2021-06-30,2.72
9774458,IVS WINDSOR,Bulk carrier,2020-03-30,2021-06-30,3.69
9774472,KANG MAY,Bulk carrier,2020-04-17,2021-06-30,3.36
9774484,RONG MAY,Bulk carrier,2020-04-17,2021-06-30,3.32
9774850,YANGZHOU CONFIDENCE,Bulk carrier,2020-04-29,2021-06-30,3.84
9775165,UNI HARMONY,Bulk carrier,2020-04-22,2021-06-30,5.49
9776444,MTM AMSTERDAM,Chemical tanker,2020-06-23,2021-06-30,7.03
9776559,SOPHIA,Oil tanker,2020-04-24,2021-06-30,2.15
9777371,BOW PALLADIUM,Chemical tanker,2020-04-23,2021-06-30,6.19
9777670,SYNERGY 2,Oil tanker,2020-05-22,2021-06-30,9.08
9779381,MARAN HELEN,Oil tanker,2020-04-24,2021-06-30,2.65
9780134,SAKIZAYA HERO,Bulk carrier,2020-04-30,2021-06-30,3.22
9780146,SAKIZAYA INTEGRITY,Bulk carrier,2020-04-30,2021-06-30,3.26
9780976,BULK CARINA,Bulk carrier,2020-08-04,2021-06-30,4.21
9781011,CMB PERMEKE,Bulk carrier,2020-05-22,2021-06-30,3.51
9781023,CRIMSON ARK,Bulk carrier,2020-03-26,2021-06-30,3.53
9781918,SEAN SPIRIT,LNG carrier,2020-01-05,2021-06-30,3.38
9782259,RISING SKY,Bulk carrier,2020-04-30,2021-06-30,3.59
9782302,CAPE TAWEELAH,Bulk carrier,2020-04-30,2021-06-30,2.43
9782314,ILEKTRA,Bulk carrier,2020-04-20,2021-06-30,3.68
9782338,FEDERAL IRIS,Bulk carrier,2020-03-16,2021-06-30,3.69
9782962,IBERIAN BULKER,Bulk carrier,2020-07-04,2021-06-30,5.54
9783136,SAKIZAYA POWER,Bulk carrier,2020-04-30,2021-06-30,3.52
9783148,SAKIZAYA QUEEN,Bulk carrier,2020-04-30,2021-06-30,3.54
9783150,SAKIZAYA RESPECT,Bulk carrier,2020-04-30,2021-06-30,3.51
9783382,LIAN YANG HU,Oil tanker,2020-04-28,2021-06-30,3.52
9783394,LIAN SHAN HU,Oil tanker,2020-04-28,2021-06-30,3.52
9783681,LAWHAH,Oil tanker,2020-04-30,2021-06-30,2.11
9783722,SEATRIUMPH,Oil tanker,2020-04-30,2021-06-30,2.19
9783930,SOUTHERN LEADER,Oil tanker,2020-04-30,2021-06-30,3.45
9783942,SOUTHERN GLORY,Oil tanker,2020-04-30,2021-06-30,3.39
9784013,NEPTUNE MOON,Oil tanker,2020-04-29,2021-06-30,3.14
9784025,PLUTO MOON,Oil tanker,2020-04-30,2021-06-30,2.65
9784362,RIKKE,Bulk carrier,2020-07-21,2021-06-30,3.51
9784374,FALCON TRADER,Bulk carrier,2020-12-02,2021-06-30,3.63
9785354,IONIC PLEIONE,Bulk carrier,2020-04-30,2021-06-30,3.36
9785366,IONIC PATRIS,Bulk carrier,2020-04-30,2021-06-30,3.33
9785689,STI GALATA,Oil tanker,2020-04-29,2021-06-30,4.4
9785706,STI LEBLON,Oil tanker,2020-04-29,2021-06-30,4.46
9785718,STI LA BOCA,Oil tanker,2020-04-29,2021-06-30,4.56
9785770,COSCO SHIPPING ORCHID,Container ship,2020-10-04,2021-06-30,8.09
9785809,COSCO SHIPPING ROSE,Container ship,2020-10-04,2021-06-30,8.22
9785988,DUKE SANTOS,Bulk carrier,2020-04-30,2021-06-30,3.55
9786140,MAERSK CAPRI,Oil tanker,2020-06-24,2021-06-30,3.88
9786188,MAERSK CORSICA,Oil tanker,2020-06-24,2021-06-30,3.91
9786190,MAERSK CRETE,Oil tanker,2020-06-24,2021-06-30,3.91
9787340,SEASUCCESS,Gas carrier,2020-04-30,2021-06-30,7.49
9787948,BURRI,Oil tanker,2020-04-23,2021-06-30,3.11
9787974,AMIS NATURE,Bulk carrier,2020-04-30,2021-06-30,4.14
9787986,KAREKARE,Oil tanker,2020-08-04,2021-06-30,2.76
9788320,FRONT EARL,Oil tanker,2020-04-23,2021-06-30,2.06
9788497,ST.PETRI,Oil tanker,2021-07-06,2021-06-30,4.72
9788540,PACIFIC AZUR,Oil tanker,2020-06-21,2021-06-30,4.9
9788588,CHALLENGE PINNACLE,Chemical tanker,2020-05-28,2021-06-30,4.88
9788679,ND MARITSA,Bulk carrier,2020-04-27,2021-06-30,4.09
9788681,ND ARISTEIA,Bulk carrier,2020-04-27,2021-06-30,4.0
9789726,INNOVATOR,Gas carrier,2020-07-31,2021-06-30,7.45
9789829,EN MAY,Bulk carrier,2020-04-17,2021-06-30,3.37
9790646,BOW PRECISION,Chemical tanker,2020-05-18,2021-06-30,5.62
9790816,MONT BLANC HAWK,Bulk carrier,2020-04-30,2021-06-30,3.59
9790921,YOGA,Bulk carrier,2020-12-02,2021-06-30,3.69
9790933,ITALIAN BULKER,Bulk carrier,2020-09-03,2021-06-30,3.69
9790971,SEAVISION,Oil tanker,2020-04-30,2021-06-30,2.84
9791860,CIELO DI HOUSTON,Oil tanker,2020-04-29,2021-06-30,3.8
9791884,ISABELA ISLAND,Bulk carrier,2020-04-28,2021-06-30,5.53
9791963,INCHEON BAY,Bulk carrier,2020-04-22,2021-06-30,5.56
9791987,ANATOLI,Bulk carrier,2020-05-05,2021-06-30,3.65
9791999,BULK POLARIS,Bulk carrier,2020-06-25,2021-06-30,3.7
9792010,SOUTHERN QUOKKA,Chemical tanker,2020-04-23,2021-06-30,8.53
9792034,ORIENT ARROW,Bulk carrier,2020-06-26,2021-06-30,4.15
9792199,NEAPOLIS,Oil tanker,2020-04-30,2021-06-30,4.12
9792462,SOTKA,Bulk carrier,2020-04-29,2021-06-30,3.61
9792474,ELANDRA EAGLE,Oil tanker,2020-04-29,2021-06-30,2.62
9792747,PYXIS PIONEER,Gas carrier,2020-04-16,2021-06-30,6.19
9793234,VEGA SEA,Gas carrier,2020-12-05,2021-06-30,6.16
9793741,GEM NO. 5,Oil tanker,2020-04-06,2021-06-30,2.58
9793753,FOLEGANDROS,Oil tanker,2020-06-30,2021-06-30,2.58
9794288,ALBERT III,Gas carrier,2020-04-28,2021-06-30,5.95
9794848,NAUTICAL JANINE,Oil tanker,2020-08-05,2021-06-30,4.05
9795115,EAGLE LYON,Oil tanker,2020-04-30,2021-06-30,3.07
9795672,LAUREL PRIME,Gas carrier,2020-02-04,2021-06-30,5.88
9796535,DAIWAN LEADER,Bulk carrier,2020-04-30,2021-06-30,5.87
9796561,SAKIZAYA NOBLE,Bulk carrier,2020-04-30,2021-06-30,3.3
9796573,MEGA BENEFIT,Bulk carrier,2020-04-30,2021-06-30,3.3
9796872,MARAN ARES,Oil tanker,2020-04-24,2021-06-30,2.16
9797400,STENA IMPERO,Chemical tanker,2020-04-30,2021-06-30,4.38
9797723,TORM SOVEREIGN,Oil tanker,2020-04-29,2021-06-30,4.09
9797814,STEN TOR,Chemical tanker,2020-10-06,2021-06-30,6.92
9798002,TORM HELLERUP,Oil tanker,2020-04-29,2021-06-30,2.94
9798088,HELLAS CALAFIA,Oil tanker,2020-06-29,2021-06-30,4.98
9798844,ANDROMEDA OCEAN,Bulk carrier,2020-11-05,2021-06-30,3.28
9799111,WHITE HORSE,Oil tanker,2020-04-23,2021-06-30,14.2
9799123,NEW PRIME,Oil tanker,2020-04-30,2021-06-30,2.12
9799135,NEW EMINENCE,Oil tanker,2020-04-30,2021-06-30,2.13
9799197,NEW JOURNEY,Oil tanker,2020-06-05,2021-06-30,2.05
9799379,JS INEOS MARLIN,Gas carrier,2020-02-06,2021-06-30,6.35
9799628,VENEZIA,Bulk carrier,2020-04-30,2021-06-30,3.9
9799771,LOWLANDS FUTURE,Bulk carrier,2020-02-05,2021-06-30,3.7
9799783,SEA COMMANDER,Bulk carrier,2020-04-30,2021-06-30,3.48
9799800,OCEAN PHOENIX TREE,Bulk carrier,2020-03-03,2021-06-30,3.52
9800116,NORDIC AQUA,Chemical tanker,2020-06-17,2021-06-30,9.1
9800257,KASOS,Oil tanker,2020-05-25,2021-06-30,2.71
9800271,TILOS I,Oil tanker,2020-05-25,2021-06-30,2.66
9801689,COSTA VENEZIA,Passenger ship,2020-07-06,2021-06-30,9.56
9801706,MONA MANX,Bulk carrier,2020-04-05,2021-06-30,3.54
9801718,SCARLETT MANX,Bulk carrier,2020-04-05,2021-06-30,3.57
9802097,CAPE OASIS,Bulk carrier,2020-06-25,2021-06-30,2.46
9802217,MEDI EGADI,Bulk carrier,2020-04-28,2021-06-30,3.52
9802267,ULTRA PROGRESSION,Bulk carrier,2020-04-05,2021-06-30,3.57
9802384,CARNIVAL PANORAMA,Passenger ship,2020-06-16,2021-06-30,9.67
9803352,LIVIA ROSE,Bulk carrier,2020-04-05,2021-06-30,3.53
9804241,BALT FLOT 12,Oil tanker,2020-12-21,2021-06-30,15.54
9804253,ORIENTAL KING,Gas carrier,2020-04-23,2021-06-30,5.94
9804277,COSWISH LAKE,Oil tanker,2020-04-28,2021-06-30,2.11
9804813,FAIRCHEM HAWK,Chemical tanker,2020-04-27,2021-06-30,7.26
9805659,GENOA,Bulk carrier,2020-04-30,2021-06-30,3.64
9805752,ADVENTURER,Bulk carrier,2020-06-04,2021-06-30,3.61
9806299,BERGE PHAN XI PANG,Bulk carrier,2020-04-30,2021-06-30,5.49
9806342,GOLD OAK,Bulk carrier,2020-04-29,2021-06-30,5.49
9808168,GREEN AURA,Oil tanker,2020-04-21,2021-06-30,3.2
9808340,CIELO DI IYO,Bulk carrier,2020-05-21,2021-06-30,5.06
9808352,CIELO DI SETO,Bulk carrier,2020-05-06,2021-06-30,5.14
9810551,PRISM BRILLIANCE,LNG carrier,2020-10-03,2021-06-30,6.7
9811036,SAKIZAYA ORCHID,Bulk carrier,2020-04-30,2021-06-30,3.59
9811529,NEW CONFIDENCE,Bulk carrier,2020-06-25,2021-06-30,3.45
9811543,MAPLE,Other ship types,2020-04-30,2021-06-30,3.72
9812743,CRIMSON JADE,Oil tanker,2020-04-29,2021-06-30,4.42
9813072,ROALD AMUNDSEN,Passenger ship,2020-06-05,2021-06-30,14.6
9813565,GANJA,Oil tanker,2020-03-11,2021-06-30,15.54
9814155,HIGH LEADER,Chemical tanker,2020-04-30,2021-06-30,4.58
9814167,NORD JEWEL,Chemical tanker,2020-04-30,2021-06-30,4.64
9817133,HANSEATIC NATURE,Passenger ship,2020-07-29,2021-06-30,16.49
9817626,ELANDRA OSPREY,Oil tanker,2020-04-29,2021-06-30,2.82
9820283,MARVIN INDEPENDENCE,Chemical tanker,2020-06-30,2021-06-30,4.21
9820295,MARVIN CONFIDENCE,Chemical tanker,2020-06-30,2021-06-30,4.29
9820300,MARVIN FAITH,Chemical tanker,2020-06-30,2021-06-30,4.21
9820958,KM JAKARTA,Bulk carrier,2020-04-05,2021-06-30,3.65
9823821,PROFESSOR AZIZ ALIYEV,Oil tanker,2020-03-11,2021-06-30,15.82
9824978,DUNNII,General cargo ship,2020-03-30,2021-06-30,4.11
9824980,GRANDIS,General cargo ship,2020-03-30,2021-06-30,3.97
9824992,ROBUSTA,General cargo ship,2020-03-30,2021-06-30,3.88
9825427,FLEX CONSTELLATION,LNG carrier,2020-05-10,2021-06-30,5.61
9826110,PAPALEMOS,Oil tanker,2020-07-16,2021-06-30,2.12
9826471,LOWLANDS HORIZON,Bulk carrier,2020-02-05,2021-06-30,2.96
9826483,OAKGATE,Bulk carrier,2020-04-30,2021-06-30,3.6
9827059,NORD VALOROUS,Chemical tanker,2020-04-16,2021-06-30,4.43
9828962,PHOENIX JAMNAGAR,Oil tanker,2020-11-05,2021-06-30,1.99
9829071,BALT FLOT 17,Chemical tanker,2020-11-06,2021-06-30,12.92
9829370,PACIFIC M,Oil tanker,2020-04-30,2021-06-30,2.19
9829459,MARLIN MAJESTIC,Chemical tanker,2020-04-30,2021-06-30,4.03
9829497,MARLIN MILLENNIA,Chemical tanker,2020-04-30,2021-06-30,4.08
9829813,CAP CORPUS CHRISTI,Oil tanker,2020-05-22,2021-06-30,2.96
9830056,CSSC YUAN JING,Bulk carrier,2020-04-26,2021-06-30,3.66
9830068,TRANSCENDEN BRIGHT,Bulk carrier,2020-05-25,2021-06-30,3.69
9830252,NORD VANTAGE,Chemical tanker,2020-03-06,2021-06-30,4.41
9830288,HAFNIA HONG KONG,Oil tanker,2020-04-30,2021-06-30,4.58
9832250,FRONT SIENA,Oil tanker,2020-02-07,2021-06-30,2.93
9832432,MARS HARMONY,Bulk carrier,2020-04-30,2021-06-30,4.64
9832664,KEN COLON,Bulk carrier,2020-11-05,2021-06-30,3.64
9832913,AM TARANG,Bulk carrier,2020-09-04,2021-06-30,2.58
9833541,MARLIN MASTER,Chemical tanker,2020-04-30,2021-06-30,4.03
9833553,MARLIN MYTHIC,Chemical tanker,2020-04-30,2021-06-30,4.06
9834387,KNUT OLDENDORFF,Bulk carrier,2020-07-28,2021-06-30,3.69
9834868,SEA COUGAR,Oil tanker,2020-04-30,2021-06-30,4.25
9836036,TORM STRENGTH,Oil tanker,2020-04-29,2021-06-30,4.38
9836438,BW JAPAN,Bulk carrier,2020-02-07,2021-06-30,3.51
9836452,CLYDE,Oil tanker,2020-04-29,2021-06-30,4.12
9838204,BALT FLOT 19,Chemical tanker,2020-11-06,2021-06-30,13.4
9838230,MARLIN LOTUS,Oil tanker,2020-08-06,2021-06-30,3.05
9839064,INFINITY SKY,Bulk carrier,2020-04-22,2021-06-30,3.6
9840491,AMARYLLIS,Bulk carrier,2020-04-30,2021-06-30,3.5
9841897,EUROPA GRAECA,Bulk carrier,2020-04-30,2021-06-30,3.64
9842061,MSC JOSSELINE,Container ship,2020-06-05,2021-06-30,7.87
9842085,MSC FAITH,Container ship,2020-06-05,2021-06-30,7.8
9842102,MSC KANOKO,Container ship,2020-06-05,2021-06-30,7.8
9845257,JY LAKE,Bulk carrier,2020-03-16,2021-06-30,3.67
9845972,ASTORIA HARMONY,Bulk carrier,2020-07-13,2021-06-30,5.17
9846237,BALT FLOT 20,Chemical tanker,2020-11-06,2021-06-30,13.4
9846251,IWAGI ISLAND,Bulk carrier,2020-04-27,2021-06-30,5.61
9847425,MATTERHORN EXPLORER,Gas carrier,2020-04-30,2021-06-30,6.53
9847437,EIGER EXPLORER,Gas carrier,2020-04-30,2021-06-30,6.6
9847451,DORIC COURAGE,Chemical tanker,2020-05-22,2021-06-30,4.18
9848998,KIM OLDENDORFF,Bulk carrier,2020-07-14,2021-06-30,3.8
9849033,SEA WOLF,Oil tanker,2020-04-30,2021-06-30,4.18
9851581,YACHIYO,Refrigerated cargo carrier,2020-05-26,2021-06-30,18.7
9852676,AMIS QUEEN,Bulk carrier,2020-04-30,2021-06-30,3.72
9852755,DULCE DIVA,Bulk carrier,2020-12-02,2021-06-30,3.66
9852779,EVGENIA K,Bulk carrier,2020-12-02,2021-06-30,3.67
9852810,VASSOS 2,Bulk carrier,2020-04-22,2021-06-30,3.57
9855642,PSARROS D,Bulk carrier,2020-04-21,2021-06-30,3.5
9860726,ROYAL MIDORI,Bulk carrier,2020-03-18,2021-06-30,3.64
9862413,PRO ONYX,Oil tanker,2020-10-03,2021-06-30,4.17
9865233,ATLANTIC PRISM,Bulk carrier,2020-04-29,2021-06-30,5.1
8407735,MARELLA DREAM,Passenger ship,2021-04-30,2022-06-30,21.85
9007116,TYCHO BRAHE,Ro-pax ship,2021-04-29,2022-06-30,36.59
9007128,AURORA AF HELSINGBORG,Ro-pax ship,2021-04-29,2022-06-30,36.98
9070620,MARELLA DISCOVERY 2,Passenger ship,2021-03-05,2022-06-30,12.01
9070632,MARELLA DISCOVERY,Passenger ship,2021-03-05,2022-06-30,12.01
9106297,MARELLA EXPLORER,Passenger ship,2021-06-14,2022-06-30,9.22
9120384,VARNA,Ro-ro ship,2021-11-03,2022-06-30,17.41
9131955,AUTOPRIDE,Vehicle carrier,2021-10-08,2022-06-30,37.2
9131967,AUTOPROGRESS,Vehicle carrier,2021-10-08,2022-06-30,37.2
9150030,HAMLET,Ro-pax ship,2021-04-29,2022-06-30,36.24
9151400,GANOSAYA,Bulk carrier,2021-08-04,2022-06-30,3.11
9153850,MAERSK KIEL,Container ship,2021-08-04,2022-06-30,16.05
9155365,HANSA FLENSBURG,Container ship,2021-08-03,2022-06-30,19.84
9164225,MAERSK AHRAM,Container ship,2021-12-04,2022-06-30,19.98
9164237,ALEXANDER MAERSK,Container ship,2021-05-04,2022-06-30,20.33
9164251,MAERSK ARKANSAS,Container ship,2021-04-13,2022-06-30,19.98
9168221,MAERSK PATRAS,Container ship,2021-04-28,2022-06-30,21.55
9175779,MAERSK ARUN,Container ship,2021-04-13,2022-06-30,19.98
9175781,ANTWERP,Container ship,2021-06-04,2022-06-30,19.98
9183855,EUROPA,Passenger ship,2021-04-29,2022-06-30,10.43
9187239,CAPE BALDER,Oil tanker,2021-04-27,2022-06-30,3.08
9190731,LAURA MAERSK,Container ship,2021-12-04,2022-06-30,18.03
9190743,LAUST MAERSK,Container ship,2021-12-04,2022-06-30,18.45
9190767,LEXA MAERSK,Container ship,2021-04-28,2022-06-30,18.74
9190779,LICA MAERSK,Container ship,2021-04-13,2022-06-30,18.31
9190781,LUNA MAERSK,Container ship,2021-04-28,2022-06-30,18.31
9192442,NELE MAERSK,Container ship,2021-04-27,2022-06-30,27.34
9192478,NORA MAERSK,Container ship,2021-04-27,2022-06-30,27.34
9193264,MAERSK IDAHO,Container ship,2021-02-04,2022-06-30,18.45
9193288,DALLAS EXPRESS,Container ship,2021-02-07,2022-06-30,14.63
9193290,TOKYO EXPRESS,Container ship,2021-02-17,2022-06-30,14.66
9193317,ROTTERDAM EXPRESS,Container ship,2021-04-16,2022-06-30,14.83
9205718,TANGO RIO,General cargo ship,2021-04-23,2022-06-30,19.06
9205902,FEDERAL HUDSON,Bulk carrier,2021-05-05,2022-06-30,6.55
9206786,AUTOSTAR,Vehicle carrier,2021-10-08,2022-06-30,29.2
9215878,MAERSK NEWCASTLE,Container ship,2021-04-28,2022-06-30,19.17
9215907,MAERSK NESTON,Container ship,2021-04-28,2022-06-30,19.17
9220885,NEXOE MAERSK,Container ship,2021-09-04,2022-06-30,26.78
9220897,NYSTED MAERSK,Container ship,2021-09-04,2022-06-30,26.78
9222118,MAERSK NORTHWOOD,Container ship,2021-04-13,2022-06-30,19.17
9227314,MSC ZLATA R.,Container ship,2021-04-26,2022-06-30,23.0
9229013,LUCY PG,Oil tanker,2021-03-06,2022-06-30,18.96
9229843,NINGBO EXPRESS,Container ship,2021-02-25,2022-06-30,12.38
9229855,BERLIN EXPRESS,Container ship,2021-02-16,2022-06-30,12.31
9231286,BONITA,Bulk carrier,2021-04-22,2022-06-30,3.82
9231470,MAERSK NEWBURY,Container ship,2021-04-28,2022-06-30,19.17
9231846,NEUENFELDE,Container ship,2021-06-04,2022-06-30,29.0
9232565,LIVERPOOL EXPRESS,Container ship,2021-02-16,2022-06-30,13.78
9232577,DUBLIN EXPRESS,Container ship,2021-02-16,2022-06-30,13.34
9232589,GLASGOW EXPRESS,Container ship,2021-02-16,2022-06-30,13.35
9239733,MILAN TRADER,Container ship,2021-05-28,2022-06-30,18.71
9251042,MOHAC,Bulk carrier,2021-03-05,2022-06-30,9.11
9264271,CAPE BRADLEY,Chemical tanker,2021-06-05,2022-06-30,6.54
9264283,CAPE BACTON,Chemical tanker,2021-04-27,2022-06-30,6.65
9271327,IBLEA,Oil tanker,2021-06-22,2022-06-30,3.04
9283186,MONTE CERVANTES,Container ship,2021-04-27,2022-06-30,18.99
9283198,MONTE OLIVIA,Container ship,2021-04-27,2022-06-30,17.25
9283227,MONTE SARMIENTO,Container ship,2021-04-27,2022-06-30,17.07
9285328,VERONICA PG,Chemical tanker,2021-03-06,2022-06-30,18.96
9287924,MP THE EDELMAN,Container ship,2021-05-05,2022-06-30,16.8
9289180,SAFMARINE CAMEROUN,Container ship,2021-04-27,2022-06-30,22.55
9289192,MAERSK YORKTOWN,Container ship,2021-04-13,2022-06-30,22.61
9289922,MAERSK SANA,Container ship,2021-04-13,2022-06-30,15.25
9289972,MP THE BRADY,Container ship,2021-12-05,2022-06-30,16.8
9290464,SEAMAX NORWALK,Container ship,2021-05-24,2022-06-30,14.36
9290933,NORDIC LUNA,Oil tanker,2021-04-27,2022-06-30,3.1
